Modeled,Actual
0.7046540260515107,0.8000000000000003
0.7356338241067337,0.8000000000000003
1.8695110755358904,1.9000000000000001
1.4724665599385185,1.7
1.3082605229480453,1.5000000000000002
0.7194630826954469,0.8000000000000003
0.8784050725350924,0.8999999999999999
1.0239454832633414,1.0000000000000002
0.350110861966973,0.40000000000000013
0.4738844883666271,0.4999999999999999
0.6174227873964858,0.6000000000000002
0.4292401326251353,0.4999999999999999
0.33526592291484364,0.4999999999999999
0.7741456643439615,0.8999999999999999
0.9628851029400471,1.1999999999999997
0.508991315369514,0.8999999999999999
1.4454018503690325,1.7
1.3550256887133738,1.5999999999999999
1.4294140009412437,1.5999999999999999
2.062448827956277,2.3
1.9780511130674852,2.2000000000000006
1.5046805313153058,1.9000000000000001
1.813226955381328,2.0999999999999996
1.238625805810086,1.3
1.8212624431697937,1.8000000000000005
1.9614049641188185,2.0
2.3187372880836534,2.6
2.0475823815961522,2.2000000000000006
1.850019610296948,2.0
2.1033322908615157,2.3
0.8208365195972639,0.6999999999999998
2.187527966876834,2.3
2.1377090553099665,2.3
1.2252179788926958,1.0999999999999999
1.609249320092925,1.5999999999999999
1.8126517873516181,1.8000000000000005
2.362492885659152,2.2000000000000006
3.339306565551328,3.3
3.2163980097273575,3.6
2.1519218504380144,2.5
3.133635637147355,3.2000000000000006
2.061025132288664,2.0999999999999996
1.7645228025460498,1.3999999999999997
2.021238729905701,2.4
2.1908044447691677,2.6
2.6720926844695962,2.8999999999999995
1.6852687274436864,1.8000000000000005
2.2662324692045295,2.3
2.766909965049038,2.8999999999999995
2.454179983423701,2.5
2.8883412591433033,3.2000000000000006
3.216446451605117,3.3
2.7549379225318837,2.8999999999999995
3.9795853007241555,3.8
2.3308968757464057,2.6
2.0772256437758787,2.5
2.536965394576736,2.7
2.972816406410783,3.1000000000000005
2.785497697301076,3.0000000000000004
3.2331560041241247,3.4999999999999996
3.258059447203768,3.3999999999999995
4.07159396825978,4.1
3.746380854163628,4.499999999999999
1.5292207662900872,1.3
2.116918232531371,1.9000000000000001
2.8127236987425976,3.0000000000000004
3.6323110988590748,3.4999999999999996
4.297772720155494,4.4
2.4347349375330642,2.5
4.452750313606788,4.499999999999999
3.8152282012592873,3.8
4.229887333125772,4.3
1.6733730479650766,1.7
2.814861470910587,2.8999999999999995
2.8247545739985647,3.1000000000000005
3.887692049008789,3.9000000000000004
4.4646274094408,4.1
3.3937191022507665,3.4999999999999996
3.438613646152516,3.7
1.6033998887259586,1.9000000000000001
2.3586921171208655,2.5
1.7484947616274542,1.7
2.4054826926234942,2.5
4.3985707914905126,4.4
4.755127130678645,4.9
4.103830955191487,4.499999999999999
5.13920986900132,5.3
5.493717080817917,5.700000000000001
6.529407823659175,6.400000000000002
5.006435022410594,5.3
5.8391113499871725,5.9
6.064841294556117,6.1000000000000005
3.7801733955920147,4.2
3.8859519673601293,4.3
6.497099560960119,6.600000000000001
6.07328847434318,6.200000000000002
5.481324093011383,5.9
5.28961409768999,5.599999999999999
6.575800924639719,6.700000000000001
7.4444788537862205,7.3
7.798006916332281,7.400000000000002
6.261753582889562,6.500000000000001
7.312934809100633,7.200000000000002
8.05672964346272,7.700000000000001
8.778661940153025,8.400000000000002
8.097081028373111,7.8
9.265859569360956,8.700000000000001
9.090266439963365,8.700000000000001
6.264824775843147,6.500000000000001
7.652064681160285,7.6000000000000005
9.512030364048847,9.3
9.36201665315854,8.700000000000001
10.166002879832767,9.4
8.400066282581022,8.400000000000002
9.80170334598704,9.6
7.519098987401971,7.6000000000000005
10.556589191945754,10.2
8.576985195873208,8.800000000000002
9.08028520337947,9.100000000000001
8.759977336364171,8.6
8.414949996333268,8.400000000000002
7.734499500068928,8.0
10.242231840845642,9.8
11.531908117968152,11.1
11.945491986248193,11.599999999999998
11.886096245090481,11.7
13.148806913195473,13.2
10.251408186948808,10.0
10.872506891508966,10.8
11.777726513875724,11.5
12.18469512973262,12.2
12.414411680335705,12.5
11.286388997891596,11.199999999999998
9.688347041254696,9.5
8.572224270109025,8.6
8.565866655595249,8.5
7.6182026318665725,7.8
3.452608620511781,4.000000000000001
2.609795684238222,3.0000000000000004
6.879118359029335,7.1
8.389052058723623,8.800000000000002
10.004315370861955,10.0
7.408033804211451,7.500000000000001
6.3084384999208565,6.500000000000001
6.389447263879071,6.700000000000001
7.254125140644752,7.700000000000001
8.0454899369132,8.3
8.858218622207602,9.100000000000001
8.703825238557497,8.800000000000002
9.859278193272358,10.2
10.017985366789608,10.2
12.165489831713439,12.000000000000002
12.40387341049392,12.3
11.393468345795027,11.599999999999998
6.654602475596589,7.1
7.0790137168677,7.500000000000001
9.507375811443211,9.5
12.173636348768472,12.3
12.440074871485143,12.7
12.198237539799456,12.2
11.767398178498587,11.8
13.174747840066605,13.6
12.13146696591891,12.3
10.6347166107826,10.8
9.81211810464319,10.2
10.090736504547554,10.2
11.00725642102389,11.1
10.435979218354806,10.7
11.686823564868686,11.599999999999998
10.888257690065883,10.8
11.281966858482356,11.199999999999998
9.327015395168774,9.6
11.965107517366153,11.9
13.274372871970268,13.5
13.192152762602483,13.5
13.01683831630358,13.3
12.461375737460797,12.5
11.793500975212975,11.8
11.57767766986085,11.5
11.355661869327825,11.3
10.625872019621482,10.8
11.830080346625692,11.9
11.770995000661685,11.8
10.771757200180021,10.9
11.840132711732428,11.8
11.964338524877048,12.000000000000002
12.844553632750747,13.1
12.223474802797233,12.400000000000002
11.68047271924671,11.599999999999998
11.653975255176666,11.599999999999998
10.624460117483132,10.7
12.00839087467327,12.3
12.809793366689599,12.7
13.612750512219407,13.5
13.310201045838488,13.3
10.272569708505964,10.1
9.145630214051103,9.5
9.946509297163383,10.0
8.516371834967265,8.700000000000001
8.494922802435761,8.700000000000001
10.483834337952183,10.5
11.524338051749593,11.3
10.978023429208212,10.9
11.749999209267008,11.7
11.75148006510516,11.599999999999998
11.564469001588533,11.4
